  74 0.000 0.079844    1.1171581e+01    4.6864592e-03    1.2789744e+00    7.5821490e-02  1  9443   29
  74 0.000 0.022408   -1.0239949e+01   -8.4834349e-03    5.9774945e-01    1.1637751e-02  1  6402  185
  74 0.000 0.097542   -1.0544028e+01   -8.7247340e-03   -6.7853228e-03    4.1915343e-03  1  2303    8
  74 0.000 0.009500    1.0741290e+01    1.0798782e-02   -1.1849234e+00   -1.1599775e-02  1  4415   10
  74 0.000 0.000856    1.6002431e+01    2.0365389e-02    2.9487217e+00    4.9852479e-02  1  4719   72
  74 0.000 0.700486    1.0051375e+01    1.7225509e-02   -2.9799854e+00   -4.2178963e-02  1  8739   13
  74 0.000 0.102479    1.1036228e+01    2.5821092e-02    4.7892129e-01    7.1409573e-03  1  2061   32
  74 0.000 0.033522    1.0679106e+01   -4.0710363e-03    1.3214170e+00    2.9380908e-02  1  7253    1
  74 0.000 0.181637    1.1785632e+01    1.4156439e-03    2.0390927e+00    8.5923002e-02  1  8516    9
  74 0.000 0.079813    1.4978880e+01    2.3468427e-02    5.0748311e-01   -1.3028720e-02  1  1620   19
  74 0.000 0.160974    1.0059597e+01   -9.4695080e-03    5.6542252e+00    6.3090622e-02  1  6347    9
  74 0.000 0.021721    1.2637495e+01   -7.3227267e-03    1.0616532e+00    3.4899260e-02  1  3541    1
  74 0.000 0.106661    1.0275342e+01    8.3953661e-02    1.8443729e+00   -3.6957688e-02  1  8129    9
  74 0.000 0.036019    1.1173655e+01    2.7358143e-03    2.3507454e+00    6.6656965e-02  1  6060   17
  74 0.000 0.249499    1.0171469e+01   -1.0963788e-02   -1.7686770e+00   -1.1821016e-02  1  6657   12
  74 0.000 0.140813    2.0012810e+01    3.2350192e-02    1.5615369e+00   -2.7831352e-02  1  6161    3
  74 0.000 0.022108    1.0202784e+01    1.1001894e-02    1.5771320e-01    5.7468526e-03  1  8020    1
  74 0.000 0.040499   -1.0189522e+01   -3.8480719e-03    3.3084417e+00    6.0808987e-02  1  6430    3
  74 0.000 0.092068    1.1055086e+01    2.8282098e-02   -9.5919625e-02    3.1912716e-02  1  3332   11
  74 0.000 0.099883    1.1086523e+01   -7.6897994e-03   -4.2945084e+00   -6.3132409e-02  1  8452   10
  74 0.000 0.149438   -1.0506025e+01   -3.1797543e-03   -5.9830964e+00   -9.2340287e-02  1  3524    2
  74 0.000 0.078062    1.0551858e+01    6.9980936e-03    8.5169695e-01    2.0520810e-02  1  9045   27
  74 0.000 0.040386    1.0160067e+01    1.4216650e-02    7.5331880e-01    1.2867254e-02  1  7415   11
  74 0.000 0.088839    1.3451267e+01    2.1173690e-02    1.2559780e+00    2.8812362e-02  1  6850    7
  74 0.000 0.063466   -1.0255024e+01    2.3000632e-04    1.2224197e+00    2.5322822e-02  1  2917   27
  74 0.000 0.076324    1.0128892e+01   -1.1448838e-02   -7.5388357e-01   -1.9150432e-02  1  1810   16
  74 0.000 0.028021    1.0235176e+01    7.1264109e-03   -2.1915598e+00   -2.9831141e-02  1  1448   51
  74 0.000 0.049731    1.0430275e+01    8.1587927e-03   -3.0694980e-02   -8.1832125e-03  1  7316   12
  74 0.000 0.312919    1.0289564e+01   -4.6783284e-03    6.3341798e+00    1.2114537e-01  1  9402   37
  74 0.000 0.016148    1.0722425e+01    1.1168297e-03   -1.0345391e+00   -2.1433856e-02  1  1004   10
  74 0.000 0.004875    1.0132382e+01    4.4281532e-05   -3.8147842e-01    5.5052163e-03  1  4963   34
  74 0.000 0.316901    1.1987766e+01    1.5553667e-02   -2.8792863e-01   -2.6576449e-03  1  8616    6
  74 0.000 0.027588    1.2474026e+01    9.5657999e-03    1.8382975e+00    3.4850693e-02  1  7707   14
  74 0.000 0.126038    1.3269177e+01    1.6256503e-02    2.7957230e+00    5.5243180e-02  1  6954   12
  74 0.000 0.077985    1.1997232e+01    7.2906085e-03   -5.5391184e+00   -1.1392529e-01  1  8935   18
  74 0.000 0.152380    1.0386769e+01    4.9872316e-02   -1.3034366e+00   -9.2535228e-03  1  4561    1
  74 0.000 0.014689    1.1213279e+01    1.6150748e-02   -3.6222119e+00   -5.8042190e-02  1  8528   47
  74 0.000 0.041650   -1.0141356e+01    2.0355564e-03    4.6525732e+00    7.2595286e-02  1  9226   24
  74 0.000 0.009366   -1.0711708e+01   -7.0182563e-03   -3.4775161e+00   -4.6904686e-02  1  2642    4
  74 0.000 0.077988    1.1797457e+01    1.9014157e-02   -1.9700944e+00   -5.1887731e-02  1  8527   12
