%Ind           Name   Pos[m]
   1    TCLP.4R1.B1   135.73
   2     TCL.5R1.B1   184.86
   3     TCL.6R1.B1   223.31
   4     TCL.7R1.B1   258.80
   5    TCTH.4L2.B1  3214.20
   6   TCTVA.4L2.B1  3215.90
   7     TDI.4L2.B1  3251.60
   8      TCLIA.4R2  3406.18
   9   TCLIB.6R2.B1  3560.09
  10     TCP.6L3.B1  6487.67
  11    TCSG.5L3.B1  6520.99
  12    TCSG.4R3.B1  6707.58
  13   TCSG.A5R3.B1  6718.92
  14   TCSG.B5R3.B1  6724.74
  15   TCLA.A5R3.B1  6755.22
  16   TCLA.B5R3.B1  6757.22
  17    TCLA.6R3.B1  6843.77
  18    TCLA.7R3.B1  6915.18
  19    TCTH.4L5.B1 13195.77
  20   TCTVA.4L5.B1 13197.45
  21     TCL.4R5.B1 13465.02
  22     TCL.5R5.B1 13514.15
  23     TCL.6R5.B1 13552.60
  24     TCL.7R5.B1 13588.09
  25  TCDQA.A4R6.B1 16804.97
  26  TCDQA.B4R6.B1 16808.52
  27  TCDQA.C4R6.B1 16812.07
  28    TCSG.4R6.B1 16815.98
  29    TCP.D6L7.B1 19789.18
  30    TCP.C6L7.B1 19791.18
  31    TCP.B6L7.B1 19793.18
  32   TCSG.A6L7.B1 19832.68
  33   TCSG.B5L7.B1 19891.91
  34   TCSG.A5L7.B1 19895.91
  35   TCSG.D4L7.B1 19917.24
  36   TCSG.B4L7.B1 19987.16
  37   TCSG.A4L7.B1 19991.16
  38   TCSG.A4R7.B1 19995.16
  39   TCSG.B5R7.B1 20086.42
  40   TCSG.D5R7.B1 20102.42
  41   TCSG.E5R7.B1 20106.42
  42    TCSG.6R7.B1 20141.02
  43   TCLA.A6R7.B1 20148.09
  44   TCLA.B6R7.B1 20178.96
  45   TCLA.C6R7.B1 20212.23
  46   TCLA.D6R7.B1 20214.23
  47   TCLA.A7R7.B1 20231.86
  48   TCRYO.8R7.B1 20286.56
  49  TCRYO.10R7.B1 20366.09
  50    TCTH.4L8.B1 23197.15
  51   TCTVA.4L8.B1 23199.15
  52    TCTH.4L1.B1 26525.36
  53   TCTVA.4L1.B1 26527.04
  54    TCTH.5L1.B1 26445.00
  55   TCTVA.5L1.B1 26446.70
  56    TCTH.5L5.B1 13115.80
  57   TCTVA.5L5.B1 13117.50

