 # ID name  angle[rad]  betax[m]  betay[m] halfgap[m]  Material  Length[m]  sigx[m]  sigy[m] tilt1[rad] tilt2[rad] nsig
        26 TCSG.B4L7.B1   0.00000E+00   0.13975E+03   0.13098E+03   0.21340E-02 C    0.10000E+01   0.33872E-03   0.32793E-03   0.00000E+00   0.00000E+00   0.63000E+01
        28 TCSG.A4L7.B1   0.23492E+01   0.12866E+03   0.14128E+03   0.20979E-02 C    0.10000E+01   0.32501E-03   0.34058E-03   0.00000E+00   0.00000E+00   0.63000E+01
        30 TCSG.A4R7.B1   0.80809E+00   0.11828E+03   0.15221E+03   0.21052E-02 C    0.10000E+01   0.31162E-03   0.35350E-03   0.00000E+00   0.00000E+00   0.63000E+01
        36 TCSG.B5R7.B1   0.24696E+01   0.12185E+03   0.26755E+03   0.24105E-02 C    0.10000E+01   0.31629E-03   0.46867E-03   0.00000E+00   0.00000E+00   0.63000E+01
        40 TCSG.D5R7.B1   0.89710E+00   0.21387E+03   0.15853E+03   0.24223E-02 C    0.10000E+01   0.41903E-03   0.36077E-03   0.00000E+00   0.00000E+00   0.63000E+01
        42 TCSG.E5R7.B1   0.22776E+01   0.24140E+03   0.13610E+03   0.24253E-02 C    0.10000E+01   0.44518E-03   0.33427E-03   0.00000E+00   0.00000E+00   0.63000E+01
        44 TCSG.6R7.B1    0.87300E-02   0.33575E+03   0.47359E+02   0.33075E-02 C    0.10000E+01   0.52502E-03   0.19718E-03   0.00000E+00   0.00000E+00   0.63000E+01
        50 TCLA.A6R7.B1   0.15710E+01   0.29706E+03   0.48158E+02   0.16504E-02 W    0.10000E+01   0.49385E-03   0.19884E-03   0.00000E+00   0.00000E+00   0.83000E+01
        51 TCLA.B6R7.B1   0.00000E+00   0.15949E+03   0.76391E+02   0.30034E-02 W    0.10000E+01   0.36186E-03   0.25043E-03   0.00000E+00   0.00000E+00   0.83000E+01
        52 TCLA.C6R7.B1   0.15710E+01   0.68608E+02   0.15189E+03   0.29310E-02 W    0.10000E+01   0.23733E-03   0.35313E-03   0.00000E+00   0.00000E+00   0.83000E+01
        53 TCLA.D6R7.B1   0.00000E+00   0.65041E+02   0.15792E+03   0.19180E-02 W    0.10000E+01   0.23108E-03   0.36007E-03   0.00000E+00   0.00000E+00   0.83000E+01
        54 TCLA.A7R7.B1   0.00000E+00   0.64255E+02   0.14741E+03   0.19064E-02 W    0.10000E+01   0.22968E-03   0.34788E-03   0.00000E+00   0.00000E+00   0.83000E+01
        60 TCTH.4L8.B1    0.00000E+00   0.24135E+03   0.30267E+03   0.53416E-02 W    0.10000E+01   0.44514E-03   0.49849E-03   0.00000E+00   0.00000E+00   0.12000E+02
        62 TCTVB.4L8      0.15710E+01   0.53673E+03   0.33557E+03   0.62986E-02 W    0.10000E+01   0.66382E-03   0.52488E-03   0.00000E+00   0.00000E+00   0.12000E+02
        55 TCTH.4L1.B1    0.00000E+00   0.14442E+04   0.55241E+03   0.97999E-02 W    0.10000E+01   0.10889E-02   0.67344E-03   0.00000E+00   0.00000E+00   0.90000E+01
        56 TCTVA.4L1.B1   0.15710E+01   0.14497E+04   0.58319E+03   0.62276E-02 W    0.10000E+01   0.10910E-02   0.69195E-03   0.00000E+00   0.00000E+00   0.90000E+01
